2215 new candidates (excl. 107 already in dataset)
  100/2215  resolved so far: 0
  200/2215  resolved so far: 3
  300/2215  resolved so far: 3
  400/2215  resolved so far: 4
  500/2215  resolved so far: 8
  600/2215  resolved so far: 11
  700/2215  resolved so far: 11
  800/2215  resolved so far: 11
  900/2215  resolved so far: 13
  1000/2215  resolved so far: 13
  1100/2215  resolved so far: 14
  1200/2215  resolved so far: 15
  1300/2215  resolved so far: 15
  1400/2215  resolved so far: 18
  1500/2215  resolved so far: 18
  1600/2215  resolved so far: 23
  1700/2215  resolved so far: 25
  1800/2215  resolved so far: 26
  1900/2215  resolved so far: 26
  2000/2215  resolved so far: 26
  2100/2215  resolved so far: 27
  2200/2215  resolved so far: 30

DONE: 30 auto-verified pairs (rules+Sefaria); 2185 unresolved -> knowledge tier for labeling
